timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1473018668110,5701,HTTP Request,200,OK,Thread Group 1-98,text,true,,784,125,125,5701,0
1473018668113,5712,HTTP Request,200,OK,Thread Group 1-49,text,true,,784,125,125,5712,0
1473018668110,5716,HTTP Request,200,OK,Thread Group 1-3,text,true,,784,125,125,5716,0
1473018668113,5723,HTTP Request,200,OK,Thread Group 1-75,text,true,,784,125,125,5723,0
1473018668118,5767,HTTP Request,200,OK,Thread Group 1-91,text,true,,784,125,125,5767,0
1473018668110,5786,HTTP Request,200,OK,Thread Group 1-119,text,true,,784,125,125,5786,0
1473018668109,5799,HTTP Request,200,OK,Thread Group 1-18,text,true,,784,125,125,5799,0
1473018668109,5814,HTTP Request,200,OK,Thread Group 1-68,text,true,,784,125,125,5814,0
1473018668106,5824,HTTP Request,200,OK,Thread Group 1-23,text,true,,784,125,125,5824,0
1473018668110,5874,HTTP Request,200,OK,Thread Group 1-54,text,true,,784,125,125,5874,0
1473018668109,5891,HTTP Request,200,OK,Thread Group 1-44,text,true,,784,125,125,5891,0
1473018668110,5903,HTTP Request,200,OK,Thread Group 1-112,text,true,,784,125,125,5903,0
1473018668109,5940,HTTP Request,200,OK,Thread Group 1-74,text,true,,784,125,125,5940,0
1473018668113,8140,HTTP Request,200,OK,Thread Group 1-113,text,true,,784,125,125,8140,0
1473018668109,8144,HTTP Request,200,OK,Thread Group 1-82,text,true,,784,125,125,8144,0
1473018668109,8144,HTTP Request,200,OK,Thread Group 1-5,text,true,,784,125,125,8144,0
1473018668114,8139,HTTP Request,200,OK,Thread Group 1-7,text,true,,784,125,125,8139,0
1473018668106,8192,HTTP Request,200,OK,Thread Group 1-63,text,true,,784,125,125,8192,0
1473018668109,8216,HTTP Request,200,OK,Thread Group 1-53,text,true,,784,125,125,8216,0
1473018668113,8225,HTTP Request,200,OK,Thread Group 1-6,text,true,,784,125,125,8225,0
1473018668116,8253,HTTP Request,200,OK,Thread Group 1-120,text,true,,784,125,125,8253,0
1473018668110,8311,HTTP Request,200,OK,Thread Group 1-65,text,true,,784,125,125,8311,0
1473018668119,8313,HTTP Request,200,OK,Thread Group 1-45,text,true,,784,125,125,8313,0
1473018668111,8354,HTTP Request,200,OK,Thread Group 1-25,text,true,,784,125,125,8354,0
1473018672072,4458,HTTP Request,200,OK,Thread Group 1-10,text,true,,784,125,125,4458,0
1473018668106,8457,HTTP Request,200,OK,Thread Group 1-37,text,true,,784,125,125,8457,0
